title,artist,listType,Gross,Tickets_Sold,rank_each_year,releaseYear,x,y,rank,listHighestRank
Five Feet Apart,Lionsgate,Drama,45729221.0,4992273.0,60.0,2019.0,1486.6761022460605,259.2849904895156,15,17.638248060719846
47 Meters Down: Uncaged,Entertainment Stu...,Thriller/Suspense,22260900.0,2430229.0,99.0,2019.0,1477.4180045982155,281.4274300105568,9,16.918342334261197
Booksmart,United Artists,Comedy,22680962.0,2476087.0,97.0,2019.0,1461.5265274331805,289.8808880907256,9,16.937036452150032
Missing Link,United Artists,Adventure,16649539.0,1817635.0,116.0,2019.0,1458.1041220186441,305.5105759052199,7,16.627893086319727
Fast & Furious Presents: Ho...,Universal,Action,173956935.0,18990932.0,13.0,2019.0,1456.7188566503914,332.4750161897784,20,18.974318326545625
Dark Waters,Focus Features,Drama,10633879.0,1160904.0,128.0,2019.0,1429.7759259508825,330.72045489946515,7,16.17955559438473
Men in Black: International,Sony Pictures,Adventure,80001807.0,8733821.0,35.0,2019.0,1406.2543755294037,335.4887528945386,17,18.19755977988306
Serenity,Aviron Pictures,Thriller/Suspense,8547045.0,933083.0,138.0,2019.0,1400.980866605083,314.1301456453495,5,15.96109616713956
IP Man: The Finale,Well Go USA,Action,2866676.0,312955.0,182.0,2019.0,1399.7879223280747,306.21959042134955,3,14.86866372836428
Little,Universal,Comedy,40860481.0,4460751.0,67.0,2019.0,1381.1103646300087,311.8578887807852,15,17.525673919188524
Honey Boy,Amazon Studios,Drama,2980099.0,325338.0,180.0,2019.0,1373.2622279888858,295.6589150088987,3,14.907467079406276
Harriet,Focus Features,Drama,42547700.0,4644945.0,64.0,2019.0,1355.5784825591238,292.29957763742624,15,17.56613635746863
The Biggest Little Farm,Neon,Documentary,4367816.0,476835.0,164.0,2019.0,1362.5467482136767,273.55275727322635,5,15.28977367097749
The Lighthouse,A24,Horror,10809320.0,1180056.0,127.0,2019.0,1365.1799763389104,261.8452336392345,7,16.195919282918954
Cold War,Amazon Studios,Drama,4307930.0,470298.0,166.0,2019.0,1375.320872194351,255.429453776341,5,15.275968068287034
Star Wars: The Rise of Skyw...,Walt Disney,Adventure,390706234.0,42653519.0,6.0,2019.0,1360.8912002072386,232.60874900316742,22,19.783466515874455
The Mule,Warner Bros.,Drama,39084073.0,4266820.0,70.0,2019.0,1368.4574707748666,196.3906382062547,15,17.481225601816604
Good Boys,Universal,Comedy,83140306.0,9076453.0,34.0,2019.0,1394.2416820399342,177.43873989926814,17,18.23604017232084
Long Shot,Lionsgate,Romantic Comedy,30316271.0,3309636.0,82.0,2019.0,1424.1629507517532,179.6107616936161,13,17.227195123048137
Dora and the Lost City of Gold,Paramount Pictures,Adventure,60477943.0,6602395.0,46.0,2019.0,1449.43265054471,163.44158507964352,17,17.91778927801377
Shazam!,Warner Bros.,Action,140371656.0,15324416.0,19.0,2019.0,1483.2195331872497,178.52291662892156,20,18.759804148833524
They Shall Not Grow Old,Warner Bros.,Documentary,12253074.0,1337672.0,123.0,2019.0,1491.3770260108752,204.2611238476169,7,16.32128740225065
Jumanji: The Next Level,Sony Pictures,Adventure,192094536.0,20971019.0,11.0,2019.0,1515.238697012324,216.89523074199627,20,19.07349818381526
After,Aviron Pictures,Drama,12138565.0,1325170.0,125.0,2019.0,1497.8779732486107,237.57384941926858,7,16.311898132325588
Dark Phoenix,20th Century Fox,Action,65845974.0,7188425.0,43.0,2019.0,1518.1984483261704,253.7766606513719,17,18.00282884533234
Rambo: Last Blood,Lionsgate,Action,44819352.0,4892942.0,62.0,2019.0,1505.0902686986321,282.96870797341137,15,17.618150568401216
Yesterday,Universal,Romantic Comedy,73286650.0,8000726.0,37.0,2019.0,1483.6026035642963,306.6811571736659,17,18.10988902202941
The Current War: Director's...,101 Studios,Drama,5978673.0,652693.0,148.0,2019.0,1481.4122830024146,328.5718514485444,5,15.603709194947442
The Kitchen,Warner Bros.,Drama,12180032.0,1329698.0,124.0,2019.0,1482.4914444229364,340.52322838295896,7,16.315308447500374
Ride Your Wave,GKIDS,Comedy,332432.0,36252.0,141.0,2020.0,1474.8029765326337,349.73666756166875,5,12.714190606884568
Ordinary Love,Bleecker Street,Drama,323688.0,35298.0,143.0,2020.0,1466.5910888654232,355.4432340373278,5,12.687535367864804
Possessor,Neon,Thriller/Suspense,752885.0,80009.0,104.0,2020.0,1453.8920935364426,361.3369185923855,9,13.531667772675211
A Hidden Life,Fox Searchlight,Drama,456268.0,49756.0,131.0,2020.0,1442.577909625948,353.091359639864,5,13.030835635155421
Pinocchio,Roadside Attractions,Adventure,782555.0,83162.0,101.0,2020.0,1430.1133105251124,346.7168973679977,9,13.570319486466328
Wild Mountain Thyme,Bleecker Street,Drama,213441.0,23276.0,162.0,2020.0,1418.1529044927452,353.9934822497203,5,12.271115726855841
The Silencing,Saban Films,Thriller/Suspense,100746.0,10986.0,200.0,2020.0,1410.228401488735,355.08995483917863,3,11.520357776787524
Spell,Paramount Pictures,Horror,500104.0,53146.0,128.0,2020.0,1400.9838598447002,358.90288675460897,7,13.122571355775328
Unhinged,Solstice Studios,Thriller/Suspense,20831465.0,2271697.0,23.0,2020.0,1374.3822905838035,354.28157602520355,20,16.85197514201703
Star Wars Ep. V: The Empire...,20th Century Fox,Adventure,1580209.0,172323.0,77.0,2020.0,1357.0589464016907,326.19418123059745,13,14.273067674736135
Bombshell,Lionsgate,Drama,7172836.0,782206.0,48.0,2020.0,1330.5213666786071,312.20286740948046,17,15.785811671331235
The Burnt Orange Heresy,Sony Pictures Cla...,Thriller/Suspense,144201.0,15725.0,177.0,2020.0,1337.618862759231,293.504590767353,3,11.8789634386217
Star Wars: The Rise of Skyw...,Walt Disney,Adventure,124496308.0,13576478.0,5.0,2020.0,1322.3468402377985,270.03620079051694,25,18.639786618810856
Kajillionaire,Focus Features,Drama,531430.0,57953.0,123.0,2020.0,1332.7943373201713,239.78971661939698,7,13.183326765362446
Panga,FIP,Drama,582720.0,61925.0,116.0,2020.0,1332.7042395484534,225.79000653698702,7,13.27546207552138
Hope Gap,Roadside Attractions,Drama,104732.0,11421.0,194.0,2020.0,1339.9714385890911,218.92066755104707,3,11.559159985309764
The Turning,Universal,Horror,15472775.0,1687325.0,28.0,2020.0,1333.460637424374,196.86144117763317,20,16.554592585906764
Train to Busan Presents: Pe...,Well Go USA,Horror,1224525.0,130130.0,81.0,2020.0,1354.9832304792146,171.84588625283232,13,14.018063571662475
My Boyfriend's Meds,Lionsgate,Romantic Comedy,2971116.0,324003.0,66.0,2020.0,1374.7757137701487,152.04039193488862,15,14.904448197775443
Cunningham,Magnolia Pictures,Documentary,163020.0,17777.0,173.0,2020.0,1391.9034158637044,157.57589742168955,3,12.001628171648449
Coco,Walt Disney,Musical,734000.0,80043.0,105.0,2020.0,1402.975811073641,152.94966090428426,9,13.506264307596652
A Christmas Story,MGM,Comedy,3896391.0,424906.0,58.0,2020.0,1424.814987104931,142.99725464879376,15,15.175561298051816
I Still Believe,Lionsgate,Drama,10410004.0,1135223.0,37.0,2020.0,1453.940425678667,129.74173399181703,17,16.158277824836997
The Nightmare Before Christmas,Walt Disney,Musical,2286000.0,249291.0,70.0,2020.0,1482.81976206719,143.52519980265464,15,14.642314123336893
The Climb,Sony Pictures Cla...,Drama,234429.0,25564.0,157.0,2020.0,1496.9791051181157,157.6501070365518,5,12.36490804916881
Lupin III: The First,GKIDS,Adventure,139066.0,14778.0,182.0,2020.0,1501.3395586260647,164.35730057819165,3,11.8427039195653
The Santa Clause,Walt Disney,Adventure,706000.0,76990.0,108.0,2020.0,1511.2569864404174,171.11338121322711,9,13.467370516475379
The Secrets We Keep,Bleecker Street,Thriller/Suspense,231119.0,24560.0,158.0,2020.0,1507.471687158814,184.59193860445754,5,12.350688008374092
Toy Story,Walt Disney,Adventure,870305.0,94907.0,96.0,2020.0,1520.9271284279691,188.45860386696938,9,13.676599003906453
Save Yourselves!,Bleecker Street,Comedy,301162.0,32004.0,145.0,2020.0,1531.363441543277,197.7904508738192,5,12.615403604930187
Richard Jewell,Warner Bros.,Drama,4523325.0,493274.0,55.0,2020.0,1548.9184286123032,207.3728529216527,15,15.324757900842055
Ava,Vertical Entertai...,Action,497747.0,52895.0,129.0,2020.0,1540.0636819813074,227.51220400605624,7,13.117847194786231
Words on Bathroom Walls,Roadside Attractions,Drama,2542518.0,277264.0,69.0,2020.0,1549.5489952458536,247.3623635085243,15,14.748665486525809
Citizen K,Greenwich,Documentary,101762.0,10814.0,196.0,2020.0,1537.087073750289,260.3508396561863,3,11.53039203246886
Brahms: The Boy II,STX Entertainment,Horror,12611536.0,1375303.0,34.0,2020.0,1539.6051337991819,280.1916907868754,17,16.350122508611918
Ammonite,Neon,Drama,160930.0,17549.0,174.0,2020.0,1520.7165083750633,273.61751178206106,3,11.98872476681254
Midway,Lionsgate,Action,299520.0,32663.0,147.0,2020.0,1522.090239298395,293.50440916541527,5,12.609936472271364
Promising Young Woman,Focus Features,Black Comedy,1208180.0,131753.0,82.0,2020.0,1513.9160874459733,309.54134283409235,13,14.00462565299903
The SpongeBob Movie: Sponge...,Paramount Pictures,Adventure,4810790.0,524622.0,52.0,2020.0,1503.958682180566,335.71098326686183,15,15.386371869760081
Jojo Rabbit,Fox Searchlight,Black Comedy,11791356.0,1285862.0,35.0,2020.0,1490.772954673656,364.8680851481104,17,16.282877278622745
The Forgotten Carols,Purdie Distribution,Musical,501629.0,53308.0,127.0,2020.0,1467.3320727476191,370.0183331547215,7,13.12561608162165
The Personal History of Dav...,Searchlight Pictures,Drama,1876298.0,204612.0,73.0,2020.0,1452.364548455796,383.2838228393765,13,14.444811244547274
The Man Standing Next,Capelight Pictures,Thriller/Suspense,113527.0,12064.0,191.0,2020.0,1444.8097080451093,369.17976716843367,3,11.63979597307589
Love and Monsters,Paramount Pictures,Adventure,1070714.0,116762.0,87.0,2020.0,1428.8175556799076,368.6787055672587,13,13.883836273618924
The New Mutants,20th Century Studios,Horror,23855569.0,2601479.0,20.0,2020.0,1400.668111973479,385.90104045596087,20,16.987528249089717
Tokyo Godfathers,IDP Distribution,Adventure,237581.0,25908.0,156.0,2020.0,1376.5873466669957,379.18414070577364,5,12.378263896943183
Parasite,Neon,Black Comedy,29518856.0,3219068.0,17.0,2020.0,1353.2983002769422,388.27371265619763,20,17.20053980355808
Come Away,Relativity,Drama,184477.0,20117.0,167.0,2020.0,1351.09324419375,363.37114797562754,5,12.125280073445248
The Hunt,Universal,Thriller/Suspense,5812500.0,633860.0,49.0,2020.0,1335.8992177373912,347.46072497548494,17,15.575521328877748
Honeyland,Neon,Documentary,102719.0,11201.0,195.0,2020.0,1324.2589572534282,331.1971357078759,3,11.539752383673909
Finding You,Roadside Attractions,Drama,2753985.0,264806.0,98.0,2021.0,1747.8415193504743,247.92879089354435,9,14.828559511632811
Those Who Wish Me Dead,Warner Bros.,Thriller/Suspense,7407200.0,807764.0,74.0,2021.0,1745.8415193504743,226.01988859333773,13,15.817963058115975
Dutch,Faith Media Distr...,Thriller/Suspense,323167.0,31073.0,168.0,2021.0,1758.4839595874168,238.83272219310538,5,12.685924496455717
Spider-Man: No Way Home,Sony Pictures,Action,572984769.0,55094689.0,1.0,2021.0,1779.5546933156545,260.1874448593848,25,20.166369693173895
Stillwater,Focus Features,Drama,14465535.0,1577485.0,58.0,2021.0,1743.235189642003,276.9473271053799,15,16.487279481536273
West Side Story,20th Century Studios,Musical,29636436.0,3149461.0,37.0,2021.0,1716.3635109855313,294.32296770316276,17,17.20451510824742
12 Mighty Orphans,Sony Pictures Cla...,Drama,3688723.0,402259.0,89.0,2021.0,1687.7253229475202,285.3868507668463,13,15.120790885659805
The Green Knight,A24,Adventure,17173321.0,1872772.0,49.0,2021.0,1665.2541149298418,265.5111165608797,17,16.658867632924302
Scoob!,Warner Bros.,Adventure,2188425.0,238650.0,105.0,2021.0,1670.6404633695047,240.07517249570805,9,14.598692664977877
The Card Counter,Focus Features,Thriller/Suspense,2652315.0,255030.0,100.0,2021.0,1678.2361245287982,223.75628982705703,9,14.790943401514852
The Addams Family 2,United Artists,Adventure,56489153.0,5431649.0,22.0,2021.0,1694.788656658441,199.9442407741689,20,17.849559195384824
Werewolves Within,IFC Films,Horror,575783.0,55363.0,140.0,2021.0,1715.7218776013729,213.61172997132536,5,13.26348613258404
The Protégé,Lionsgate,Action,7446823.0,716041.0,73.0,2021.0,1731.2468078675904,204.5025840053699,13,15.823298056450067
Flag Day,United Artists,Drama,424667.0,46310.0,153.0,2021.0,1748.847559060553,208.27267119844933,5,12.959060611375184
