title,artist,listType,listHighestRank,Tickets Sold,rank_each_year,releaseYear,x,y,rank
Annihilation,Paramount Pictures,Thriller/Suspense,17.303872946481054,3593008.0,88.0,2018.0,1206.096585185167,314.06148932619124,13
The Girl in the Spider's Web,Sony Pictures,Thriller/Suspense,16.51206527174033,1627722.0,128.0,2018.0,1190.323746506636,326.35854425902147,7
Solo: A Star Wars Story,Walt Disney,Adventure,19.18039958991065,23465149.0,10.0,2018.0,1170.11917525786,347.16179642432303,22
Mamma Mia: Here We Go Again!,Universal,Musical,18.608279476926104,13242034.0,27.0,2018.0,1135.7545582575422,323.014889822825,20
Red Sparrow,20th Century Fox,Thriller/Suspense,17.662984482199093,5145390.0,64.0,2018.0,1123.491728586825,290.2334467724194,15
Unbroken: Path to Redemption,Pure Flix Enterta...,Drama,15.642781465637958,682425.0,163.0,2018.0,1119.766720735368,270.58340055093225,5
Father Figures,Warner Bros.,Comedy,15.345029771702073,506691.0,178.0,2018.0,1123.8481319352286,263.7028422438142,3
Blockers,Universal,Comedy,17.91503327371221,6620362.0,50.0,2018.0,1099.4194498374052,262.21748356563296,17
Insidious: The Last Key,Universal,Horror,18.031266085459013,7436370.0,47.0,2018.0,1081.9448765777593,233.05176242945547,17
Pandas,IMAX Films,Documentary,15.566084424908116,632042.0,168.0,2018.0,1097.606381198298,217.60128434556296,5
The Hurricane Heist,Entertainment Stu...,Thriller/Suspense,15.626390068638608,671330.0,164.0,2018.0,1104.4586637939656,210.31800052374803,5
Beirut,Bleecker Street,Action,15.428786296513518,550957.0,175.0,2018.0,1112.294385811031,208.70509616474874,3
They Shall Not Grow Old,Warner Bros.,Documentary,15.556650014871462,626107.0,171.0,2018.0,1118.2184519399045,207.75354979134815,3
Bad Samaritan,Electric Entertai...,Thriller/Suspense,15.046537282359404,375932.0,194.0,2018.0,1124.1870518770495,208.3665871395689,3
Ralph Breaks The Internet,Walt Disney,Adventure,19.0474353817383,20543654.0,16.0,2018.0,1135.024224292272,188.07975165340352,20
Jumanji: Welcome to the Jungle,Sony Pictures,Adventure,19.277248473179338,25851411.0,7.0,2018.0,1158.6668262335756,153.36624745914116,22
Book Club,Paramount Pictures,Romantic Comedy,18.043311660009497,7526487.0,44.0,2018.0,1196.6399436180022,162.25682427443076,17
Mary Queen of Scots,Focus Features,Drama,16.108674410112346,1087401.0,143.0,2018.0,1214.5513271555212,175.0311085898784,5
Death of a Nation,Quality Flix,Documentary,15.588066990106007,646090.0,167.0,2018.0,1223.1864496683029,180.0743872049514,5
Night School,Universal,Comedy,18.163418979562053,8487001.0,40.0,2018.0,1242.4539514867122,169.45537719094386,17
The Disaster Artist,A24,Comedy,14.99687603148771,357719.0,195.0,2018.0,1254.8436940247047,185.155513491061,3
Den of Thieves,STX Entertainment,Action,17.62100841425667,4933877.0,68.0,2018.0,1272.7950871239332,186.47743852561422,15
The 15:17 to Paris,Warner Bros.,Drama,17.406674807518957,3982029.0,81.0,2018.0,1282.1794442606065,212.85799653963974,13
Fantastic Beasts: The Crime...,Warner Bros.,Adventure,18.87036596403432,17209864.0,20.0,2018.0,1303.325903683354,238.19230635621258,20
Mile 22,STX Entertainment,Action,17.402045997757664,3963639.0,82.0,2018.0,1287.0715693059446,266.91157887393786,13
If Beale Street Could Talk,Annapurna Pictures,Drama,15.299214711340628,484000.0,180.0,2018.0,1271.7512265760038,271.5253732600315,3
Welcome to Marwen,Universal,Drama,15.938717159097015,917441.0,148.0,2018.0,1286.5249404769384,284.9032768739405,5
Ocean's 8,Warner Bros.,Action,18.758713983003652,15391736.0,22.0,2018.0,1301.1648725842845,305.16833023908845,20
Blindspotting,Lionsgate,Drama,15.281861626659703,475674.0,181.0,2018.0,1278.6934180226378,310.0707510578113,3
