Movie,Distributor,Genre,Gross,Tickets Sold,rank,releaseYear,radius,x,y
Iron Man 3,Walt Disney,Action,408992272.0,50306552.0,1.0,2013.0,25,-294.70166715046776,-96.50594702421891
Space Station,IMAX Films,Documentary,2436846.0,299735.0,186.0,2013.0,3,-274.964035175677,-136.94634618183994
Mandela: Long Walk to Freedom,Weinstein Co.,Drama,7061587.0,868583.0,150.0,2013.0,5,-251.78262610946905,-181.2478390878937
Escape From Planet Earth,Weinstein Co.,Adventure,57012977.0,7012666.0,61.0,2013.0,15,-228.16309395833545,-219.55081156995527
Stand Up Guys,Roadside Attractions,Drama,3310031.0,407137.0,175.0,2013.0,3,-193.7531775657837,-248.55008145486096
The Grandmaster,Weinstein Co.,Action,6594959.0,811188.0,154.0,2013.0,5,-148.6470072128059,-270.1239868984321
Insidious Chapter 2,FilmDistrict,Horror,83586447.0,10281235.0,42.0,2013.0,17,-104.74850352989986,-280.01950984580003
Jobs,Open Road,Drama,16131410.0,1984183.0,126.0,2013.0,7,-68.5379229258304,-301.29846311695945
Last Vegas,CBS Films,Comedy,63112318.0,7762892.0,56.0,2013.0,15,-28.119302493637292,-312.7149039965988
Philomena,Weinstein Co.,Drama,19586311.0,2409140.0,114.0,2013.0,7,13.871200452432294,-313.60802343772684
Spring Breakers,A24,Thriller/Suspense,14124286.0,1737304.0,132.0,2013.0,5,56.018966743550955,-334.40623962732445
Snitch,Lionsgate,Thriller/Suspense,42930462.0,5280499.0,77.0,2013.0,13,100.9909011348617,-332.81717792190165
Frozen,Walt Disney,Musical,296691729.0,36493447.0,4.0,2013.0,25,137.51324667621378,-316.50404590631126
G.I. Joe: Retaliation,Paramount Pictures,Action,122523060.0,15070487.0,22.0,2013.0,20,174.22863906947873,-300.6301692087751
Nebraska,Paramount Pictures,Drama,7003296.0,861414.0,152.0,2013.0,5,211.59904788181618,-275.561213402863
Blackfish,Magnolia Pictures,Documentary,2073582.0,255053.0,198.0,2013.0,3,233.84479532815968,-230.7825720595451
Kick-Ass 2,Universal,Action,28795985.0,3541941.0,96.0,2013.0,9,251.25184780298127,-187.12487486719644
In a World...,Roadside Attractions,Comedy,2963271.0,364485.0,180.0,2013.0,3,287.881203443023,-157.67508190705252
The Last Stand,Lionsgate,Action,12050299.0,1482201.0,135.0,2013.0,5,312.64358938118716,-114.23749170398746
Hotel Transylvania,Sony Pictures,Adventure,2140687.0,263307.0,196.0,2013.0,3,319.34158194445797,-64.68815371020223
Chennai Express,UTV Communications,Romantic Comedy,5307960.0,652885.0,167.0,2013.0,5,325.013023766434,-15.010847546724113
Wreck-It Ralph,Walt Disney,Adventure,10911037.0,1342070.0,137.0,2013.0,5,341.13937934776163,32.317163774950735
20 Feet From Stardom,RADiUS-TWC,Documentary,4821266.0,593021.0,169.0,2013.0,5,326.18027236290226,80.02696484575307
I'm in Love with a Church Girl,High Top Releasing,Drama,2387730.0,293693.0,189.0,2013.0,3,311.5894724491659,127.85068864343856
Metallica Through the Never,Picturehouse,Concert/Perfor...,3419967.0,420660.0,173.0,2013.0,3,286.5301655063689,171.11766375779902
Jurassic Park,Universal,Adventure,45385935.0,5582525.0,73.0,2013.0,13,254.59498080947776,202.82166947277844
The Hangover 3,Warner Bros.,Comedy,112200072.0,13800746.0,26.0,2013.0,20,228.9606070477505,233.52800240010907
The Smurfs 2,Sony Pictures,Adventure,71017784.0,8735274.0,48.0,2013.0,17,193.31516504994738,251.67745045731604
Delivery Man,Walt Disney,Comedy,29866438.0,3673608.0,94.0,2013.0,9,167.86045099284274,285.0848977149417
You're Next,Lionsgate,Horror,18494006.0,2274785.0,118.0,2013.0,7,133.66245536116736,312.77058164682086
Instructions Not Included,Lionsgate,Comedy,44467206.0,5469521.0,76.0,2013.0,13,95.23938538603198,329.7313509007742
Jackass Presents: Bad Grandpa,Paramount Pictures,Comedy,101625444.0,12500054.0,31.0,2013.0,17,56.319166183243084,338.962631267379
Out of the Furnace,Relativity,Drama,11187536.0,1376080.0,136.0,2013.0,5,12.065384924291134,347.1236878340763
The Company You Keep,Sony Pictures Cla...,Thriller/Suspense,5132442.0,631296.0,168.0,2013.0,5,-37.412402097362225,354.3312249612725
The Sapphires,Weinstein Co.,Musical,2450867.0,301459.0,185.0,2013.0,3,-86.7621736815145,346.29380966828194
Enough Said,Fox Searchlight,Comedy,17497669.0,2152234.0,122.0,2013.0,7,-129.53358727609566,326.8103248895963
The Place Beyond the Pines,Focus Features,Drama,21403519.0,2632659.0,111.0,2013.0,7,-171.77929048123667,314.50989560021225
